1;Armour Group, торгово-производсвенная компания ;г. Нижний Новгород, Молодежный проспект, 82;(831) 298-62-03;43.805141;56.247896
2;Blue Fish, группа компаний Рольф ;г. Нижний Новгород, Московское шоссе, 352а;(831) 274-89-90;43.789582;56.309863
3;Chery, автосалон, ООО Фаворит ;г. Нижний Новгород, Комсомольcкое шоссе, 63;(831) 411-54-55;43.927094;56.2978
4;Chery, автоцентр Чери, ООО Центр-Авто плюс ;г. Нижний Новгород, Казанское шоссе, 25 к1;(831) 413-90-33;44.081148;56.281765
5;Citroen, автоцентр Ситроен ;г. Нижний Новгород, Базовый проезд, 1е;(831) 274-86-66;43.868068;56.311286
6;Genser NN, автоцентр Дженсер НН ;г. Нижний Новгород, Стрелка, 16;(831) 220-00-25;43.969299;56.333794
7;Global Cars, автосалон ;г. Нижний Новгород, Мещерский бульвар, 3 к 1;(831) 277-79-55;43.944569;56.333968
8;J-Car, автосалон Джейкар ;г. Нижний Новгород, Бринского, 12 а;(831) 421-55-55;44.062131;56.30064
9;Kia на Комсомольском, автоцентр ;г. Нижний Новгород, Комсомольское шоссе, 5;(831) 279-40-40;43.901935;56.309184
10;Kia центр Ларина, автоцентр, ЗАО ИнПро ;г. Нижний Новгород, Ларина, 28б;(831) 290-07-00;44.015023;56.237442
11;Kia,автоцентр, ООО Бцр-моторс ;г. Нижний Новгород, пр.Гагарина, 29д;(831) 220-00-11;43.980151;56.290524
12;Mercedes-Benz Плаза, автомобильный центр ;г. Нижний Новгород, пр. Гагарина, 230;(831) 462-70-00;43.943086;56.226989
13;Peugeot, сеть автоцентров Пежо, ООО Автолига ;г. Нижний Новгород, Ошарская, 14;(831) 419-59-59;44.009544;56.320957
14;Porshe, автоцентр Порше ;г. Нижний Новгород, Магистральная, 1;(831) 257-78-77;44.090344;56.268788
15;Renault, автосалон Рено, ЗАО Автоконтинент ;г. Нижний Новгород, Казанское шоссе, 25 к2;(831) 299-97-97;44.081104;56.281056
16;Rida тюнинг, автоцентр ;г. Нижний Новгород, Коновалова, 21;(831) 225-41-24;43.797658;56.350218
17;Skoda, автоцентр Герон ;г. Нижний Новгород, Июльских дней, 1г;(831) 277-66-33;43.944551;56.306668
18;Sollers, автосалон Соллерс ;г. Нижний Новгород, Должанская, 2а к2;(831) 246-77-77;43.960828;56.335495
19;SsangYong, сеть автосалонов, ООО Автолюкс ;г. Нижний Новгород, Московское шоссе 298;(831) 279-90-20;43.831605;56.311252
20;Suzuki, сеть автосалонов, ООО Первый Дилерский центр ;г. Нижний Новгород, Куйбышева, 32;(831) 220-08-35;43.918562;56.331473
21;Thor Motors, автосалон ;г. Нижний Новгород, Совнаркомовская, 13;(831) 277-54-70;43.961214;56.328259
22;Автогазцентр, торговая копания ;г. Нижний Новгород, Ларина,12;(831) 462-95-44;43.994623;56.240133
23;АвтоИмпорт-НН;г. Нижний Новгород, Совнаркомовская, 13 к3;(831)277-54-73;43.963056;56.329028
24;АвтоКлаус Центр, автоцентр ;г. Нижний Новгород, пр. Ленина, 93д;(831) 220-04-00;43.903228;56.263037
25;АвтоКредо, автосалон ;г. Нижний Новгород, Большая Печерская, 77;(831) 413-57-75;44.035909;56.322065
26;Автолига трейд. Автосалон ;г. Нижний Новгород, Московское шоссе, 243;(831) 220-00-40;43.802042;56.311396
27;Автомобили Баварии, автотехцентр ;г. Нижний Новгород, Бринского, 12;(831) 270-30-70;44.063191;56.30058
27;Автообмен, автомагазин ;г. Нижний Новгород, Московское шоссе, 352а;(831) 274-95-65;43.789582;56.309863
29;Автория, автосалон ;г. Нижний Новгород, Куйбышева, 32;(831) 220-08-30;43.918562;56.331473
30;Автосалон ГАЗ, торгово-выставочный центр ;г. Нижний Новгород, пр. Ленина, 88;(831) 277-90-82;43.882782;56.248276
31;Автосалон, ООО Диез ;г. Нижний Новгород, Комсомольское шоссе, 5;(831) 243-01-02;43.901935;56.309184
32;АвтоСервис-Центр, сеть автотехцентров ;г. Нижний Новгород, Южное шоссе, 2 д;(831) 296-91-91;43.852895;56.22142
33;АвтоХолдинг, торговая компания ;г. Нижний Новгород, Бринского, 12;(831) 415-36-54;44.063191;56.30058
34;АвтоЦентр, автомобильное агентство ;г. Нижний Новгород, Родионова, 134;(831) 410-88-83;44.064781;56.318037
35;Агат, сеть автосалонов ;г. Нижний Новгород, Московское шоссе, 294б;(831) 220-13-50;43.847344;56.31216
36;Агат-Платинум, автосалон ;г. Нижний Новгород, Совнаркомовская, 28;(831) 299-97-77;43.959517;56.328075
37;Агат-Премиум, автосалон ;г. Нижний Новгород, Совнаркомовская, 28;(831) 299-98-88;43.959517;56.328075
38;Анкор Авто, оптовая компания ;г. Нижний Новгород, пр. Ленина, 27/1;(831) 245-31-01;43.928545;56.289302
